artifact_id,artifact_type,path,mutation_types,environments,risk_level,autonomy_mode,intent,confidence,canonical_status,owner_status,owner,owner_boundary,evidence_status,evidence_quality,exception_status,exception_reason,workflow_triggers,declared_environments,secrets_referenced,called_scripts,blocked_claims,next_action,risk_reasons,matched_terms
092ec9d3867f,workflow,.github/workflows/ci.yml,none_detected,"test,dev",low,observe,no_mutation_detected,low,not_mutation_capable,missing_or_unknown,,,present,test_evidence,none,,"pull_request,push",,,,cannot claim owner-approved,assign owner boundary,"no operational-state mutation capability detected | environment evidence: test, dev | owner boundary is missing or unknown | evidence reference is present",
fd31289f31a9,tool,tools/acceptance_gates.py,"deployment,database,broker_order,ai_agent",prod,critical,blocked,operational_mutation,high,non_canonical_or_unknown,present,,,present,generated_report,none,,,,,,cannot claim canonical operating path | cannot claim autonomous execution readiness,block or require controlled owner review before use,"mutation capability detected: deployment, database, broker_order, ai_agent | environment evidence: prod | canonical operating path is unknown | evidence reference is present | intent inference: operational_mutation | matched scanner terms: deployment:deployment, database:database, broker_order:order, ai_agent:agent",deployment:deployment | database:database | broker_order:order | ai_agent:agent
bc31d04d4912,tool,tools/autopilot_progress.py,none_detected,unknown,low,observe,no_mutation_detected,low,not_mutation_capable,missing_or_unknown,,,present,referenced_only,none,,,,,,cannot claim owner-approved,assign owner boundary,no operational-state mutation capability detected | owner boundary is missing or unknown | evidence reference is present,
576e4ed5964a,tool,tools/check_report_drift.py,none_detected,unknown,low,observe,no_mutation_detected,low,not_mutation_capable,missing_or_unknown,,,missing,missing,none,,,,,,cannot claim owner-approved | cannot claim evidence-backed safety,assign owner boundary,no operational-state mutation capability detected | owner boundary is missing or unknown | safety or rollback evidence is missing,
a1615b12ee71,tool,tools/operational_state_scan.py,"deployment,database,configuration,broker_order,queue_stream,ai_agent","prod,staging,test,dev",high,controlled_execute,operational_mutation,high,uses_canonical_command,present,,,present,rollback_evidence,none,,,,add,,cannot claim autonomous execution readiness,retain controlled execution with evidence,"mutation capability detected: deployment, database, configuration, broker_order, queue_stream, ai_agent | environment evidence: prod, staging, test, dev | canonical evidence: uses_canonical_command | evidence reference is present | intent inference: operational_mutation | matched scanner terms: deployment:deployment, deployment:promote_by_environment, deployment:release, database:migration, database:db",deployment:deployment | deployment:promote_by_environment | deployment:release | database:migration | database:db | database:TRUNCATE | configuration:configuration | configuration:secrets | broker_order:broker | broker_order:order | queue_stream:queue | ai_agent:agent | ai_agent:autonomous | ai_agent:codex | ai_agent:claude | ai_agent:PROMPT
826c23333ab7,agent_policy,AGENTS.md,ai_agent,unknown,medium,recommend,state_mutation_candidate,high,non_canonical_or_unknown,present,,,present,referenced_only,none,,,,,,cannot claim canonical operating path,map to canonical automation or document exception,mutation capability detected: ai_agent | canonical operating path is unknown | evidence reference is present | intent inference: state_mutation_candidate | matched scanner terms: ai_agent:Codex,ai_agent:Codex
